id,nearc2,nearc4,educ,age,fatheduc,motheduc,weight,momdad14,sinmom14,step14,reg661,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669,south66,black,smsa,south,smsa66,wage,enroll,KWW,IQ,married,libcrd14,exper,lwage,expersq,educ_binary
14,1,1,11,24,11.0,6.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,417,0,22.0,93.0,1.0,1.0,7,6.03308629989624,49,0
15,1,1,11,30,11.0,6.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,217,0,27.0,74.0,1.0,0.0,13,5.37989711761475,169,0
16,1,1,16,31,,8.0,648053,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,894,0,43.0,116.0,1.0,1.0,9,6.79570579528809,81,1
17,1,1,14,24,15.0,12.0,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,300,0,36.0,,6.0,1.0,4,5.70378255844116,16,1
19,1,1,12,34,12.0,8.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,346,0,40.0,93.0,1.0,1.0,16,5.84643888473511,256,0
20,1,1,14,29,,12.0,496635,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,658,0,35.0,100.0,1.0,1.0,9,6.48920488357544,81,1
22,1,1,10,26,8.0,8.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,575,0,24.0,91.0,6.0,0.0,10,6.3543701171875,100,0
25,1,1,12,32,8.0,8.0,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,649,0,35.0,88.0,1.0,0.0,14,6.47543287277222,196,0
26,1,1,18,32,12.0,13.0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,944,0,43.0,,1.0,1.0,8,6.85012626647949,64,1
29,1,1,18,34,,8.0,408301,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,614,0,50.0,114.0,1.0,1.0,10,6.4199948310852,100,1
30,1,1,15,32,5.0,14.0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,726,0,37.0,111.0,1.0,1.0,11,6.58755016326904,121,1
31,0,1,12,28,14.0,12.0,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,604,0,44.0,,1.0,1.0,10,6.40357398986816,100,0
32,0,1,12,32,11.0,12.0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,693,0,44.0,95.0,1.0,1.0,14,6.54102993011475,196,0
35,0,1,18,34,14.0,13.0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1400,0,44.0,132.0,1.0,1.0,10,7.24422740936279,100,1
36,0,1,12,26,7.0,12.0,367772,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,300,0,27.0,,6.0,1.0,8,5.70378255844116,64,0
37,0,1,18,32,16.0,16.0,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1800,0,38.0,109.0,5.0,1.0,8,7.49554204940796,64,1
38,0,1,12,25,11.0,12.0,357519,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,413,0,43.0,108.0,1.0,1.0,7,6.02344751358032,49,0
39,0,1,14,29,,16.0,496635,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,632,0,45.0,102.0,1.0,1.0,9,6.44888925552368,81,1
47,1,1,12,25,12.0,12.0,90339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,208,0,30.0,106.0,1.0,1.0,7,5.33753824234009,49,0
48,1,1,12,25,,11.0,102031,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,457,0,40.0,104.0,6.0,1.0,7,6.12468338012695,49,0
53,1,1,16,24,10.0,10.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,824,0,24.0,119.0,1.0,1.0,2,6.71417045593262,4,1
54,1,1,18,34,,12.0,408301,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,577,0,47.0,122.0,1.0,1.0,10,6.35784244537354,100,1
55,1,1,11,28,6.0,10.0,380166,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,255,0,32.0,90.0,1.0,1.0,11,5.54126358032227,121,0
62,1,1,16,30,12.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,962,0,47.0,118.0,1.0,1.0,8,6.86901426315308,64,1
63,1,1,10,31,8.0,6.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,944,0,37.0,105.0,1.0,0.0,15,6.85012626647949,225,0
64,1,1,18,34,8.0,11.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1146,1,43.0,115.0,1.0,1.0,10,7.04403305053711,100,1
77,1,1,6,27,2.0,6.0,104596,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,324,0,16.0,,1.0,1.0,15,5.78074359893799,225,0
79,1,1,11,24,6.0,12.0,102031,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,235,0,27.0,65.0,5.0,1.0,7,5.45958566665649,49,0
80,1,1,12,34,11.0,10.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1000,0,45.0,120.0,1.0,0.0,16,6.90775537490845,256,0
81,1,1,9,26,,12.0,422407,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,481,0,31.0,86.0,4.0,1.0,11,6.17586708068848,121,0
82,1,1,15,32,10.0,12.0,89826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,624,0,39.0,109.0,1.0,1.0,11,6.43615055084229,121,1
83,1,1,11,34,8.0,10.0,89826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,650,0,36.0,72.0,1.0,0.0,17,6.47697257995605,289,0
87,1,1,12,24,,10.0,102031,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,344,0,31.0,,6.0,0.0,6,5.84064149856567,36,0
90,1,1,16,24,12.0,10.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,380,0,,,6.0,0.0,2,5.94017124176025,4,1
91,1,1,12,24,12.0,11.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,353,0,25.0,101.0,1.0,1.0,6,5.86646795272827,36,0
92,1,1,13,25,,12.0,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,659,0,29.0,105.0,6.0,1.0,6,6.49072360992432,36,1
93,1,1,17,28,10.0,10.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,621,1,48.0,136.0,1.0,1.0,5,6.43133115768433,25,1
97,1,1,12,25,10.0,11.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,440,0,40.0,101.0,1.0,1.0,7,6.0867748260498,49,0
98,1,1,12,26,12.0,10.0,104596,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,738,0,34.0,96.0,6.0,1.0,8,6.60394382476807,64,0
102,1,1,11,31,5.0,5.0,158413,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,280,0,36.0,,1.0,0.0,14,5.63478946685791,196,0
107,1,1,10,24,5.0,,369567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,434,0,34.0,,1.0,1.0,8,6.07304430007935,64,0
108,1,1,12,27,,8.0,380166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,705,0,34.0,101.0,1.0,1.0,9,6.55819797515869,81,0
110,1,1,12,27,10.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,425,0,32.0,91.0,1.0,1.0,9,6.05208921432495,81,0
111,1,1,12,24,,4.0,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,571,0,35.0,,1.0,1.0,6,6.34738922119141,36,0
112,1,1,16,30,12.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,538,0,52.0,115.0,6.0,1.0,8,6.28785848617554,64,1
115,1,1,16,32,12.0,12.0,408301,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,740,0,49.0,113.0,1.0,1.0,10,6.60665035247803,100,1
116,1,1,13,32,10.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,673,1,43.0,123.0,1.0,1.0,13,6.51174545288086,169,1
119,1,1,12,34,10.0,10.0,89826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,769,0,36.0,95.0,1.0,1.0,16,6.64509105682373,256,0
121,1,1,12,24,10.0,10.0,90339,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,592,0,26.0,102.0,1.0,1.0,6,6.38350677490234,36,0
125,1,1,9,24,12.0,11.0,102031,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,213,0,15.0,,6.0,1.0,9,5.36129236221313,81,0
127,1,1,16,34,12.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1563,0,50.0,145.0,1.0,1.0,12,7.35436248779297,144,1
129,1,1,16,28,11.0,11.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,774,0,35.0,114.0,1.0,1.0,6,6.65157175064087,36,1
131,1,1,12,26,8.0,9.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,600,0,35.0,113.0,1.0,0.0,8,6.39692974090576,64,0
133,1,1,18,24,16.0,16.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,693,0,24.0,,6.0,1.0,0,6.54102993011475,0,1
135,1,1,13,31,8.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,570,0,40.0,93.0,5.0,1.0,12,6.34563636779785,144,1
136,1,1,14,28,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,433,0,38.0,,5.0,1.0,8,6.07073783874512,64,1
137,1,1,15,28,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,538,0,37.0,119.0,2.0,0.0,7,6.28785848617554,49,1
138,1,1,12,25,12.0,9.0,369567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,627,0,35.0,108.0,6.0,1.0,7,6.44094657897949,49,0
139,1,1,8,31,12.0,11.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,481,0,35.0,,1.0,1.0,17,6.17586708068848,289,0
141,1,1,12,26,6.0,11.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,545,0,26.0,72.0,1.0,1.0,8,6.30078601837158,64,0
142,1,1,12,25,12.0,9.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,576,0,34.0,86.0,1.0,1.0,7,6.35610771179199,49,0
144,1,1,16,25,14.0,12.0,90339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,700,0,42.0,123.0,1.0,1.0,3,6.55108022689819,9,1
147,1,1,16,28,12.0,12.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,788,0,38.0,103.0,1.0,1.0,6,6.66949796676636,36,1
148,1,1,17,27,12.0,12.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1012,0,42.0,101.0,1.0,1.0,4,6.91968393325806,16,1
149,1,1,12,24,12.0,10.0,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,758,0,30.0,,1.0,1.0,6,6.63068342208862,36,0
150,1,1,14,29,12.0,16.0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,601,1,41.0,105.0,6.0,1.0,9,6.39859485626221,81,1
151,1,1,12,24,,12.0,357519,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,283,0,34.0,,6.0,1.0,6,5.64544677734375,36,0
154,1,1,12,24,12.0,12.0,397244,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,250,0,29.0,,6.0,1.0,6,5.52146100997925,36,0
156,1,1,12,26,10.0,12.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,0,33.0,95.0,1.0,1.0,8,6.21460819244385,64,0
157,1,1,11,31,8.0,6.0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,550,0,41.0,98.0,1.0,1.0,14,6.30991840362549,196,0
158,1,1,12,25,8.0,6.0,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1143,0,27.0,,1.0,1.0,7,7.04141187667847,49,0
159,1,1,18,31,8.0,8.0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,810,0,39.0,115.0,4.0,0.0,7,6.69703435897827,49,1
164,1,1,12,28,,9.0,104596,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,313,0,20.0,60.0,6.0,1.0,10,5.74620342254639,100,0
166,1,1,18,25,,4.0,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,731,0,36.0,135.0,1.0,1.0,1,6.59441328048706,1,1
168,1,1,16,25,9.0,10.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,1,35.0,132.0,1.0,1.0,3,6.43775177001953,9,1
169,1,1,14,24,16.0,12.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,588,1,33.0,106.0,1.0,1.0,4,6.37672710418701,16,1
170,1,1,14,26,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,375,1,28.0,113.0,1.0,1.0,6,5.92692613601685,36,1
173,1,1,16,29,14.0,11.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,817,0,43.0,102.0,6.0,1.0,7,6.70563888549805,49,1
175,1,1,14,30,15.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,865,0,32.0,91.0,1.0,1.0,10,6.76272964477539,100,1
176,1,1,15,28,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,350,0,30.0,104.0,1.0,1.0,7,5.85793304443359,49,1
177,1,1,13,24,12.0,12.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,202,0,22.0,,1.0,1.0,5,5.30826759338379,25,1
178,1,1,13,32,16.0,16.0,367470,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,505,0,43.0,97.0,1.0,1.0,13,6.22455835342407,169,1
179,1,1,17,30,12.0,13.0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,816,0,41.0,125.0,1.0,1.0,7,6.70441436767578,49,1
181,1,1,18,26,14.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,41.0,123.0,6.0,1.0,2,6.43775177001953,4,1
182,1,1,18,32,16.0,16.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,769,0,35.0,128.0,6.0,1.0,8,6.64509105682373,64,1
183,1,1,17,27,16.0,17.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,1,38.0,133.0,6.0,1.0,4,6.21460819244385,16,1
188,1,1,17,27,12.0,8.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,619,1,32.0,114.0,1.0,1.0,4,6.42810535430908,16,1
192,1,1,12,30,,8.0,480445,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,650,0,40.0,103.0,1.0,1.0,12,6.47697257995605,144,0
194,0,1,18,28,10.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,769,0,36.0,130.0,1.0,1.0,4,6.64509105682373,16,1
195,0,1,12,26,10.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,512,0,33.0,97.0,1.0,1.0,8,6.2383246421814,64,0
196,0,1,18,31,12.0,13.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,46.0,132.0,1.0,1.0,7,6.43775177001953,49,1
197,0,1,14,31,12.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1111,0,41.0,98.0,1.0,1.0,11,7.01301574707031,121,1
198,0,1,13,28,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,721,0,41.0,108.0,1.0,1.0,9,6.5806393623352,81,1
199,0,1,14,32,13.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1154,0,44.0,107.0,1.0,1.0,12,7.05098962783813,144,1
201,0,1,18,34,18.0,18.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,827,0,40.0,129.0,6.0,1.0,10,6.71780490875244,100,1
204,0,1,16,34,14.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,923,0,56.0,,1.0,1.0,12,6.82762908935547,144,1
205,0,1,17,28,14.0,17.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1076,0,42.0,132.0,1.0,1.0,5,6.98100566864014,25,1
209,0,1,12,33,,8.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,37.0,101.0,1.0,1.0,15,6.43775177001953,225,0
210,0,1,13,27,,8.0,380166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,460,0,24.0,92.0,1.0,1.0,8,6.13122653961182,64,1
213,0,1,14,24,8.0,12.0,102031,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,900,0,39.0,108.0,6.0,1.0,4,6.80239486694336,16,1
214,0,1,18,29,8.0,9.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,682,0,,132.0,1.0,1.0,5,6.52502965927124,25,1
217,0,1,12,24,10.0,12.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,411,0,20.0,,1.0,1.0,6,6.01859331130981,36,0
218,0,1,13,27,12.0,15.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,35.0,106.0,1.0,0.0,8,6.43775177001953,64,1
222,0,1,18,32,12.0,12.0,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1005,0,46.0,123.0,1.0,1.0,8,6.91274261474609,64,1
225,0,1,11,24,9.0,11.0,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,725,0,24.0,109.0,1.0,1.0,7,6.58617162704468,49,0
226,0,1,15,27,8.0,11.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,750,0,35.0,103.0,1.0,1.0,6,6.62007331848145,36,1
228,0,1,14,29,,8.0,533828,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,529,0,33.0,108.0,1.0,0.0,9,6.27098846435547,81,1
229,0,1,17,29,8.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,972,0,47.0,122.0,1.0,1.0,6,6.87935590744019,36,1
232,0,1,12,26,12.0,12.0,380166,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,472,0,36.0,109.0,1.0,1.0,8,6.15697908401489,64,0
233,0,1,12,24,12.0,12.0,369567,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,325,0,35.0,102.0,6.0,1.0,6,5.78382539749146,36,0
234,0,1,12,34,,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,875,0,44.0,109.0,1.0,1.0,16,6.77422380447388,256,0
237,0,1,13,34,9.0,10.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,40.0,100.0,1.0,1.0,15,6.43775177001953,225,1
239,0,1,12,26,8.0,10.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,337,0,29.0,93.0,1.0,1.0,8,5.8200831413269,64,0
240,0,1,16,27,5.0,5.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,481,0,37.0,115.0,1.0,1.0,5,6.17586708068848,25,1
241,0,1,9,29,5.0,,551817,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,650,0,,,6.0,0.0,14,6.47697257995605,196,0
242,0,1,16,25,5.0,4.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,383,0,39.0,,6.0,0.0,3,5.94803476333618,9,1
244,0,1,18,30,15.0,14.0,533828,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,962,0,50.0,125.0,1.0,1.0,6,6.86901426315308,36,1
245,0,1,16,29,13.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,615,0,31.0,106.0,6.0,1.0,7,6.42162227630615,49,1
247,0,1,14,28,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,702,0,43.0,113.0,1.0,1.0,8,6.55393362045288,64,1
249,0,1,14,31,,12.0,551817,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,635,0,41.0,122.0,6.0,1.0,11,6.45362520217896,121,1
250,0,1,12,28,10.0,11.0,422407,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,200,0,35.0,,4.0,0.0,10,5.29831743240356,100,0
252,0,1,12,27,10.0,10.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,817,0,43.0,116.0,1.0,1.0,9,6.70563888549805,81,0
253,0,1,14,26,,12.0,380166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,577,0,39.0,116.0,1.0,1.0,6,6.35784244537354,36,1
254,0,1,17,26,12.0,12.0,760332,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,466,0,34.0,105.0,1.0,1.0,3,6.1441855430603,9,1
255,0,1,16,29,,12.0,993271,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,924,0,39.0,,1.0,1.0,7,6.82871198654175,49,1
256,0,1,16,31,12.0,12.0,993271,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,793,1,38.0,112.0,1.0,0.0,9,6.67582321166992,81,1
257,0,1,14,28,12.0,12.0,760332,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,635,0,32.0,113.0,1.0,1.0,8,6.45362520217896,64,1
259,0,1,12,25,,,369567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,570,0,22.0,,6.0,1.0,7,6.34563636779785,49,0
260,0,1,16,29,12.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,705,0,37.0,94.0,1.0,1.0,7,6.55819797515869,49,1
261,0,1,14,28,12.0,9.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,635,0,40.0,103.0,1.0,1.0,8,6.45362520217896,64,1
263,0,1,12,30,,12.0,496635,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,694,0,36.0,102.0,1.0,0.0,12,6.54247188568115,144,0
264,0,1,13,34,10.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,615,0,47.0,109.0,1.0,1.0,15,6.42162227630615,225,1
265,0,1,16,26,15.0,10.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,462,0,34.0,130.0,6.0,1.0,4,6.13556480407715,16,1
266,0,1,12,34,12.0,12.0,408301,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,865,0,45.0,105.0,1.0,1.0,16,6.76272964477539,256,0
267,0,1,18,33,12.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,737,0,46.0,134.0,1.0,1.0,9,6.60258769989014,81,1
268,0,1,12,25,8.0,14.0,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1400,0,39.0,,1.0,1.0,7,7.24422740936279,49,0
270,0,1,12,31,,7.0,496635,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,808,0,43.0,105.0,1.0,0.0,13,6.69456195831299,169,0
272,0,1,16,26,11.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,654,0,36.0,104.0,1.0,0.0,4,6.4831075668335,16,1
273,0,1,12,25,,12.0,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,300,0,35.0,112.0,1.0,1.0,7,5.70378255844116,49,0
275,0,1,16,30,8.0,10.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,577,0,37.0,115.0,4.0,1.0,8,6.35784244537354,64,1
279,0,1,16,24,10.0,12.0,410630,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,265,0,44.0,,6.0,1.0,2,5.57973003387451,4,1
280,0,1,18,31,8.0,8.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,594,0,33.0,117.0,1.0,1.0,7,6.38687944412231,49,1
282,0,1,17,26,12.0,8.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,325,0,29.0,114.0,1.0,1.0,3,5.78382539749146,9,1
283,0,1,16,24,12.0,8.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,385,1,37.0,118.0,6.0,1.0,2,5.95324325561523,4,1
